;2019;;;2020;;;2021;;;2022;;;2023;;;2024;;
;Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone)
Ljutomer;5245,21;3546,76;584,18;4563,16;3675,61;573,75;4487,64;3715,58;531,09;4390,28;3544,33;300,76;4387,93;3519,67;249,55;5155,04;3607,21;245,73
Log - Dragomer;1891,13;1340,21;20,42;1511,40;1292,66;22,83;1461,70;1320,89;21,58;1416,86;1312,98;23,31;1430,37;1280,38;54,06;1569,19;1365,39;62,69
Logatec;7511,45;5365,66;0,96;7085,63;5897,65;422,33;6811,05;5297,71;297,22;7164,77;5410,33;421,92;6339,44;5117,28;92,78;6802,90;5276,57;123,14
Loška dolina;1681,05;1108,56;246,24;1480,59;1204,65;234,14;1292,83;1087,70;250,00;1194,21;991,71;250,00;1384,51;1214,06;128,44;1173,31;945,85;-
Loški Potok;799,85;526,95;16,30;616,42;509,89;16,45;594,38;537,35;15,22;543,68;487,27;15,36;585,85;524,77;38,30;565,22;478,97;41,96
Lovrenc na Pohorju;1284,17;835,78;14,23;981,67;814,63;-;1027,95;928,02;14,00;984,18;907,07;10,00;1003,86;892,93;-;1132,74;1007,75;-
Luče;493,34;274,42;32,85;394,47;279,10;26,84;348,20;278,33;25,11;878,06;275,52;20,44;613,56;549,14;22,60;397,96;311,09;18,31
Lukovica;2828,97;1942,13;77,34;2426,32;1969,69;90,68;1992,80;1680,44;76,99;2221,04;1673,13;73,18;2227,95;1796,11;171,03;2472,79;2070,37;159,12
Majšperk;1576,45;963,26;82,17;1075,19;843,22;36,23;1071,66;941,96;20,00;1256,95;905,56;20,00;1461,69;977,44;11,85;1349,40;959,32;24,89
Makole;1058,96;753,65;36,60;476,25;359,24;42,52;577,84;497,69;34,43;612,02;456,18;30,83;492,41;398,43;30,46;518,62;443,32;31,31
Maribor;65944,44;49043,59;1733,45;72145,08;48459,93;1078,61;72664,23;49124,18;492,12;67852,19;48575,01;932,81;65881,83;48234,15;51,55;68570,97;47386,21;301,26
Markovci;1780,44;1177,35;87,52;1411,81;1155,81;40,76;1429,11;1205,23;25,00;1498,47;1259,82;10,00;1680,64;1314,53;-;1731,93;1365,23;13,99
Medvode;7402,06;4891,55;216,55;7781,18;5051,01;243,34;9461,90;5166,63;230,94;9336,94;4929,97;224,10;10668,61;6037,34;514,47;10033,17;5254,30;517,42
Mengeš;4116,81;2888,01;116,01;3685,13;3063,39;136,01;4170,08;3108,56;117,51;3951,67;3144,09;116,64;5792,07;4590,37;267,71;4916,77;3269,75;248,46
Metlika;4199,59;2933,55;299,33;3374,91;2657,45;295,44;3536,82;2776,60;189,41;3675,53;2826,77;260,30;3940,71;3136,74;306,97;3851,84;3024,24;341,58
Mežica;1537,20;1000,60;168,72;1740,78;912,09;125,07;1645,37;973,78;133,79;1297,31;970,06;115,31;1500,03;1172,09;177,55;1354,66;1033,44;168,03
Miklavž na Dravskem polju;3370,79;2341,32;23,64;3673,84;2638,13;-;2895,03;2342,27;21,00;3223,16;2814,74;10,00;3205,28;2829,42;-;3455,97;2883,56;-
